Name,Price,Branch,Category,Availability
FRIES,3.2,NTU,side,no
3PC set meal,9.9,NTU,set meal,no
CAJUN FISH,5.6,JP,burger,yes
COLE SLAW,2.7,JE,side,yes
3PC set meal,10.4,JE,set meal,yes
chicken nugget,6.9,JP,side,yes
chicken nugget,6.6,NTU,side,no
pepsi,2.1,JE,drink,yes
fish nugget,2.0,NTU,side,yes
onion ring,2.3,NTU,side,no
icecream,1.1,NTU,side,no
CHICKEN BURGER,4.5,NTU,burger,yes
CHOCOLATE MILKSHAKE,3.8,JP,drink,yes
SALAD,4.2,JE,side,yes
HOT DOG,5.7,NTU,burger,no
3PC SET MEAL,10.9,JP,set meal,no
CORN ON THE COB,2.9,JE,side,yes
SPICY CHICKEN WINGS,7.2,JE,side,no
VEGGIE BURGER,6.4,NTU,burger,yes
ROOT BEER,2.5,NTU,drink,yes
apple pie,2.1,NTU,side,yes
burger,3.0,CCK,set meal,yes
